Date,EUR/PLN,USD/PLN,CHF/PLN,EUR/USD,CHF/USD
2023-12-11,4.3366,4.0277,4.5824,1.0766938947786577,1.1377212801350645
2023-12-12,4.3396,4.0204,4.581,1.0793950850661624,1.1394388618047955
2023-12-13,4.3309,4.0149,4.5827,1.078706817106279,1.1414231985852699
2023-12-14,4.3053,3.9484,4.5328,1.0903910444737108,1.1480093202309796
2023-12-15,4.3103,3.9326,4.5374,1.0960433301123937,1.1537913848344608
2023-12-18,4.3269,3.9625,4.5611,1.0919621451104102,1.1510662460567822
2023-12-19,4.3321,3.9591,4.5709,1.094213331312672,1.1545300699653962
2023-12-20,4.3341,3.9527,4.5885,1.0964910061476965,1.160852075796291
2023-12-21,4.3387,3.9645,4.5988,1.0943876907554546,1.1599949552276452
2023-12-22,4.3288,3.9338,4.597,1.100411815547308,1.1685901672682903
2023-12-27,4.3311,3.9178,4.599,1.1054928786563887,1.1738730920414517
2023-12-28,4.3392,3.899,4.6671,1.1129007437804566,1.1969992305719415
2023-12-29,4.348,3.935,4.6828,1.1049555273189327,1.1900381194409149
2024-01-02,4.3434,3.9432,4.6596,1.1014911746804625,1.1816798539257456
2024-01-03,4.3646,3.9909,4.6873,1.093638026510311,1.1744969806309353
2024-01-04,4.3525,3.9684,4.6718,1.0967896381413165,1.1772502771897995
2024-01-05,4.3484,3.985,4.6714,1.0911919698870765,1.172245922208281
2024-01-08,4.3548,3.9812,4.6793,1.0938410529488596,1.1753491409625239
2024-01-09,4.3351,3.9612,4.6616,1.0943905887104917,1.1768151065333738
2024-01-10,4.3413,3.9656,4.6538,1.094739761952794,1.1735424652007265
2024-01-11,4.3505,3.968,4.6637,1.0963961693548387,1.1753276209677421
2024-01-12,4.3574,3.9746,4.6556,1.096311578523625,1.1713379962763548
2024-01-15,4.3748,3.9963,4.6797,1.094712609163476,1.1710081825688763
2024-01-16,4.3934,4.0358,4.69,1.0886069676396253,1.1620992120521334
2024-01-17,4.3978,4.0434,4.6912,1.087649008260375,1.160211703022209
2024-01-18,4.4016,4.0437,4.6793,1.0885080495585726,1.157182778148725
2024-01-19,4.3846,4.0289,4.6388,1.0882871255181314,1.151381270321924
